codigo_uf,uf,ano,cobertura,vacina
14,Roraima,2020,73.67,Poliomielite
15,Pará,2020,59.78,Poliomielite
16,Amapá,2020,42.68,Poliomielite
17,Tocantins,2020,84.42,Poliomielite
21,Maranhão,2020,60.91,Poliomielite
22,Piauí,2020,72.96,Poliomielite
23,Ceará,2020,88.42,Poliomielite
24,Rio Grande do Norte,2020,70.58,Poliomielite
25,Paraíba,2020,73.77,Poliomielite
26,Pernambuco,2020,72.78,Poliomielite
27,Alagoas,2020,74.4,Poliomielite
28,Sergipe,2020,71.62,Poliomielite
29,Bahia,2020,70.86,Poliomielite
31,Minas Gerais,2020,86.61,Poliomielite
32,Espírito Santo,2020,81.66,Poliomielite
33,Rio de Janeiro,2020,56.84,Poliomielite
35,São Paulo,2020,82.25,Poliomielite
41,Paraná,2020,86.35,Poliomielite
42,Santa Catarina,2020,88.7,Poliomielite
43,Rio Grande do Sul,2020,85.14,Poliomielite
50,Mato Grosso do Sul,2020,83.16,Poliomielite
51,Mato Grosso,2020,81.5,Poliomielite
52,Goiás,2020,78.13,Poliomielite
53,Distrito Federal,2020,81.54,Poliomielite
11,Rondônia,2021,74.58,Poliomielite
12,Acre,2021,61.78,Poliomielite
13,Amazonas,2021,67.77,Poliomielite
14,Roraima,2021,50.96,Poliomielite
15,Pará,2021,56.78,Poliomielite
16,Amapá,2021,45.37,Poliomielite
17,Tocantins,2021,80.22,Poliomielite
21,Maranhão,2021,61.97,Poliomielite
22,Piauí,2021,72.84,Poliomielite
23,Ceará,2021,74.27,Poliomielite
24,Rio Grande do Norte,2021,71.67,Poliomielite
25,Paraíba,2021,70.31,Poliomielite
26,Pernambuco,2021,69.01,Poliomielite
27,Alagoas,2021,77.55,Poliomielite
28,Sergipe,2021,72.27,Poliomielite
29,Bahia,2021,63.06,Poliomielite
31,Minas Gerais,2021,76.48,Poliomielite
32,Espírito Santo,2021,77.41,Poliomielite
33,Rio de Janeiro,2021,55.81,Poliomielite
35,São Paulo,2021,74.4,Poliomielite
41,Paraná,2021,80.75,Poliomielite
42,Santa Catarina,2021,83.76,Poliomielite
43,Rio Grande do Sul,2021,76.35,Poliomielite
50,Mato Grosso do Sul,2021,75.71,Poliomielite
51,Mato Grosso,2021,76.29,Poliomielite
52,Goiás,2021,72.72,Poliomielite
53,Distrito Federal,2021,73.23,Poliomielite
11,Rondônia,2022,82.3,Poliomielite
12,Acre,2022,71.95,Poliomielite
13,Amazonas,2022,77.51,Poliomielite
14,Roraima,2022,60.13,Poliomielite
15,Pará,2022,66.09,Poliomielite
16,Amapá,2022,52.87,Poliomielite
17,Tocantins,2022,85.42,Poliomielite
21,Maranhão,2022,74.37,Poliomielite
22,Piauí,2022,87.0,Poliomielite
23,Ceará,2022,86.48,Poliomielite
24,Rio Grande do Norte,2022,74.96,Poliomielite
25,Paraíba,2022,72.58,Poliomielite
26,Pernambuco,2022,76.25,Poliomielite
27,Alagoas,2022,86.36,Poliomielite
28,Sergipe,2022,80.1,Poliomielite
29,Bahia,2022,75.47,Poliomielite
31,Minas Gerais,2022,82.94,Poliomielite
32,Espírito Santo,2022,79.0,Poliomielite
33,Rio de Janeiro,2022,58.89,Poliomielite
35,São Paulo,2022,77.14,Poliomielite
41,Paraná,2022,84.12,Poliomielite
42,Santa Catarina,2022,87.32,Poliomielite
43,Rio Grande do Sul,2022,78.8,Poliomielite
50,Mato Grosso do Sul,2022,86.07,Poliomielite
51,Mato Grosso,2022,84.17,Poliomielite
52,Goiás,2022,76.68,Poliomielite
53,Distrito Federal,2022,78.33,Poliomielite
11,Rondônia,2013,38.3,Tríplice viral
12,Acre,2013,12.84,Tríplice viral
13,Amazonas,2013,30.44,Tríplice viral
14,Roraima,2013,18.29,Tríplice viral
15,Pará,2013,20.14,Tríplice viral
16,Amapá,2013,30.17,Tríplice viral
17,Tocantins,2013,34.67,Tríplice viral
21,Maranhão,2013,23.44,Tríplice viral
22,Piauí,2013,30.63,Tríplice viral
23,Ceará,2013,27.6,Tríplice viral
24,Rio Grande do Norte,2013,30.43,Tríplice viral
25,Paraíba,2013,34.19,Tríplice viral
26,Pernambuco,2013,30.85,Tríplice viral
27,Alagoas,2013,26.91,Tríplice viral
28,Sergipe,2013,42.14,Tríplice viral
29,Bahia,2013,36.87,Tríplice viral
31,Minas Gerais,2013,39.15,Tríplice viral
32,Espírito Santo,2013,39.84,Tríplice viral
33,Rio de Janeiro,2013,34.03,Tríplice viral
35,São Paulo,2013,37.63,Tríplice viral
41,Paraná,2013,40.2,Tríplice viral
42,Santa Catarina,2013,35.84,Tríplice viral
43,Rio Grande do Sul,2013,37.03,Tríplice viral
50,Mato Grosso do Sul,2013,35.91,Tríplice viral
51,Mato Grosso,2013,30.52,Tríplice viral
52,Goiás,2013,32.5,Tríplice viral
53,Distrito Federal,2013,44.44,Tríplice viral
11,Rondônia,2014,112.79,Tríplice viral
12,Acre,2014,59.3,Tríplice viral
13,Amazonas,2014,84.84,Tríplice viral
14,Roraima,2014,89.83,Tríplice viral
15,Pará,2014,57.71,Tríplice viral
16,Amapá,2014,80.98,Tríplice viral
17,Tocantins,2014,82.22,Tríplice viral
21,Maranhão,2014,87.39,Tríplice viral
22,Piauí,2014,61.99,Tríplice viral
23,Ceará,2014,127.95,Tríplice viral
24,Rio Grande do Norte,2014,91.87,Tríplice viral
25,Paraíba,2014,77.44,Tríplice viral
26,Pernambuco,2014,91.13,Tríplice viral
27,Alagoas,2014,90.2,Tríplice viral
28,Sergipe,2014,77.26,Tríplice viral
29,Bahia,2014,88.8,Tríplice viral
31,Minas Gerais,2014,78.4,Tríplice viral
32,Espírito Santo,2014,98.45,Tríplice viral
33,Rio de Janeiro,2014,96.72,Tríplice viral
35,São Paulo,2014,98.07,Tríplice viral
41,Paraná,2014,88.21,Tríplice viral
42,Santa Catarina,2014,93.16,Tríplice viral
43,Rio Grande do Sul,2014,81.82,Tríplice viral
50,Mato Grosso do Sul,2014,103.64,Tríplice viral
51,Mato Grosso,2014,99.51,Tríplice viral
52,Goiás,2014,85.99,Tríplice viral
53,Distrito Federal,2014,93.36,Tríplice viral
11,Rondônia,2015,94.63,Tríplice viral
12,Acre,2015,49.3,Tríplice viral
13,Amazonas,2015,77.43,Tríplice viral
14,Roraima,2015,92.53,Tríplice viral
15,Pará,2015,37.78,Tríplice viral
16,Amapá,2015,71.14,Tríplice viral
17,Tocantins,2015,52.17,Tríplice viral
21,Maranhão,2015,72.06,Tríplice viral
22,Piauí,2015,48.23,Tríplice viral
23,Ceará,2015,94.42,Tríplice viral
24,Rio Grande do Norte,2015,79.93,Tríplice viral
25,Paraíba,2015,57.99,Tríplice viral
26,Pernambuco,2015,85.85,Tríplice viral
27,Alagoas,2015,81.19,Tríplice viral
28,Sergipe,2015,74.59,Tríplice viral
29,Bahia,2015,73.66,Tríplice viral
31,Minas Gerais,2015,66.03,Tríplice viral
32,Espírito Santo,2015,85.88,Tríplice viral
33,Rio de Janeiro,2015,90.55,Tríplice viral
35,São Paulo,2015,94.64,Tríplice viral
41,Paraná,2015,74.68,Tríplice viral
42,Santa Catarina,2015,80.7,Tríplice viral
43,Rio Grande do Sul,2015,59.93,Tríplice viral
